ing_indic,ing_nacionalidad,ing_periodo,ing_valor
INGRESO_PAX,Extranjero,202012,16604
INGRESO_PAX,Extranjero,201912,36498
INGRESO_PAX,Colombiano,201912,58642
INGRESO_PAX,Extranjero,201812,31418
INGRESO_PAX,Colombiano,201812,54055
INGRESO_PAX,Colombiano,201712,51141
INGRESO_PAX,Extranjero,201712,28980
INGRESO_PAX,Extranjero,201612,25107
INGRESO_PAX,Colombiano,201612,48027
INGRESO_PAX,Extranjero,201512,26657
INGRESO_PAX,Colombiano,201512,50148
INGRESO_PAX,Extranjero,201412,16705
INGRESO_PAX,Colombiano,201412,45264
INGRESO_PAX,Extranjero,201312,15936
INGRESO_PAX,Colombiano,201312,38133
INGRESO_PAX,Extranjero,201212,12794
INGRESO_PAX,Colombiano,201212,32499
INGRESO_PAX,Colombiano,201112,27997
INGRESO_PAX,Extranjero,201112,11460
INGRESO_PAX,Colombiano,201012,30272
INGRESO_PAX,Extranjero,201012,14596
INGRESO_PAX,Colombiano,200912,23396
INGRESO_PAX,Extranjero,200912,11391
INGRESO_PAX,Extranjero,200812,9586
INGRESO_PAX,Colombiano,200812,21914
INGRESO_PAX,Extranjero,202211,60316
INGRESO_PAX,Colombiano,202211,67739
INGRESO_PAX,Colombiano,202111,52227
INGRESO_PAX,Extranjero,202111,35420
INGRESO_PAX,Extranjero,202011,11434
INGRESO_PAX,Colombiano,202011,20280
INGRESO_PAX,Colombiano,201911,45582
INGRESO_PAX,Extranjero,201911,30372
INGRESO_PAX,Colombiano,201811,41947
INGRESO_PAX,Extranjero,201811,28575
INGRESO_PAX,Extranjero,201711,26560
INGRESO_PAX,Colombiano,201711,36735
INGRESO_PAX,Colombiano,201611,33293
INGRESO_PAX,Extranjero,201611,21009
INGRESO_PAX,Colombiano,201511,34358
INGRESO_PAX,Extranjero,201511,22090
INGRESO_PAX,Extranjero,201411,13504
INGRESO_PAX,Colombiano,201411,32879
INGRESO_PAX,Extranjero,201311,13002
INGRESO_PAX,Colombiano,201311,28756
INGRESO_PAX,Extranjero,201211,10751
INGRESO_PAX,Colombiano,201211,24931
INGRESO_PAX,Colombiano,201111,19764
INGRESO_PAX,Extranjero,201111,8986
INGRESO_PAX,Colombiano,201011,21630
INGRESO_PAX,Extranjero,201011,11757
INGRESO_PAX,Colombiano,200911,16430
INGRESO_PAX,Extranjero,200911,7869
INGRESO_PAX,Extranjero,200811,6079
INGRESO_PAX,Colombiano,200811,14198
INGRESO_PAX,Colombiano,202210,70900
INGRESO_PAX,Extranjero,202210,51679
INGRESO_PAX,Colombiano,202110,55143
INGRESO_PAX,Extranjero,202110,30118
INGRESO_PAX,Colombiano,202010,14296
INGRESO_PAX,Extranjero,202010,7847
INGRESO_PAX,Colombiano,201910,48467
INGRESO_PAX,Extranjero,201910,28577
INGRESO_PAX,Extranjero,201810,22944
INGRESO_PAX,Colombiano,201810,44963
INGRESO_PAX,Colombiano,201710,39840
INGRESO_PAX,Extranjero,201710,21729
INGRESO_PAX,Extranjero,201610,18096
INGRESO_PAX,Colombiano,201610,37501
INGRESO_PAX,Extranjero,201510,20998
INGRESO_PAX,Colombiano,201510,35426
INGRESO_PAX,Colombiano,201410,34849
INGRESO_PAX,Extranjero,201410,11963
INGRESO_PAX,Extranjero,201310,10393
INGRESO_PAX,Colombiano,201310,28449
INGRESO_PAX,Extranjero,201210,9650
INGRESO_PAX,Colombiano,201210,25367
INGRESO_PAX,Colombiano,201110,21866
INGRESO_PAX,Extranjero,201110,8172
INGRESO_PAX,Extranjero,201010,10214
INGRESO_PAX,Colombiano,201010,21242
INGRESO_PAX,Extranjero,200910,7641
INGRESO_PAX,Colombiano,200910,17045
INGRESO_PAX,Colombiano,200810,16527
INGRESO_PAX,Extranjero,200810,5533
INGRESO_PAX,Extranjero,202301,62945
INGRESO_PAX,Colombiano,202301,74677
INGRESO_PAX,Colombiano,202201,60325
INGRESO_PAX,Extranjero,202201,33813
INGRESO_PAX,Extranjero,202101,11817
INGRESO_PAX,Colombiano,202101,24301
INGRESO_PAX,Extranjero,202001,33019
INGRESO_PAX,Colombiano,202001,53333
INGRESO_PAX,Extranjero,201901,28349
INGRESO_PAX,Colombiano,201901,51060
INGRESO_PAX,Extranjero,201801,25315
INGRESO_PAX,Colombiano,201801,47748
INGRESO_PAX,Colombiano,201701,44279
INGRESO_PAX,Extranjero,201701,19922
INGRESO_PAX,Extranjero,201601,20601
INGRESO_PAX,Colombiano,201601,44281
INGRESO_PAX,Colombiano,201501,41132
INGRESO_PAX,Extranjero,201501,11824
INGRESO_PAX,Colombiano,201401,39436
INGRESO_PAX,Extranjero,201401,11544
INGRESO_PAX,Extranjero,201301,9746
INGRESO_PAX,Colombiano,201301,31865
INGRESO_PAX,Colombiano,201201,26547
INGRESO_PAX,Extranjero,201201,8965
INGRESO_PAX,Colombiano,201101,16505
INGRESO_PAX,Extranjero,201101,9763
INGRESO_PAX,Extranjero,201001,7760
INGRESO_PAX,Colombiano,201001,22327
INGRESO_PAX,Colombiano,200901,20482
INGRESO_PAX,Extranjero,200901,6455
INGRESO_PAX,Colombiano,200801,19737
INGRESO_PAX,Extranjero,200801,4615
